id,manufacturer,carName,className,carType,drive,category,shareCode,power,weight,lateralG,concept,summary,tuneNotes,updatedAt,testTrackATime,testTrackBTime,testTrackCTime
exocet18-a700,Exomotive,Exocet Sport V8 XP-5 2018,A 700,트랙 토이,RWD,온로드,111 810 378,233hp,628kg,2.3G,대체 이걸 왜 다운그레이드를 여기까지 끌어내려서 타는 인간이 있는지 모르겠지만 그게 나야 / 근데 생각보다 괜찮은데? 엔진이 좋아서 그런가 싶기도 하고,아니 엔진 바꿨는데 비주얼이 안 바뀌어서 차에서 나면 안될 소리가 남 ㅋㅋㅋㅋㅋ,VVT엔진 / 세미슬릭 / 놀랍게도 기계식 그립으로만 버티는데 그냥 고카트임,2026-08-15,,1:28.031,
carreragt03-S1800-1,Porsche,Carrera GT 2003,S1 800,레트로 슈퍼카,RWD,온로드,171 197 921,809hp,1318kg,1.9G,고속에서 앞쪽 그립은 없고 엑셀 밟으면 뒤쪽이 날아가서 썰매 타는거 같음,순정(purist)튜닝 / 있으나 마나한 다운포스로 스릴 넘치는 주행을 해보세요,순정엔진/ 드리프트 타이어 / 경량화,2026-08-14,,1:23.623,
giuliasprint68-a700,Alfa Romeo,Giulia Sprint GTA Stradale 1965,A 700,희귀 클래식,RWD,온로드,111 994 262,680hp,712kg,1.7G,아니 그냥 얘한테 저거 넣으면 어케될까 싶어서 해봤는데 진짜 손가락 아프네,진짜 인생이 심심하거나 무료해졌을 때 타기 딱 좋음 / 아니면 내가 운전 실력을 더 키우고 싶으면 추천함,구형 포뮬러원 엔진에 드리프트 타이어를 끼웠음,2026-08-14,,1:27.921,
countachlpi800421-S1800,Lamborghini,Countach LPI 800-4 2021,S1 800,하이퍼카,4WD,온로드,479 888 702,841hp,1465kg,1.9G,그래도 에어로 없이 이정도면 상당히 양호한데,순정(purist)튜닝/ Q: 왜 에어로를 달지 않았나요? A: 그냥요,경량화 / 드리프트 타이어,2026-08-13,,1:23.235,
countachlpi800421-S1800-1,Lamborghini,Countach LPI 800-4 2021,S1 800,하이퍼카,4WD,온로드,802 327 992,845hp,1472kg,2.1G,순정 튜닝 기반으로 에어로 추가,포르자 에어로를 단 서킷 튜닝,경량화 / 드리프트 타이어 / 포르자 에어로,2026-08-13,,1:21.904,
rx7gslse85-b600,Mazda,RX-7 GSL-SE 1985,B 600,레트로 스포츠카,RWD,페스티벌 시즌 숙제,672 875 221,690hp,1061kg,1.4G,시즌 숙제 한번에 깨려고 제작한 괴작,시즌 숙제용인데 당신은 분명 이걸 몰면서 차가 너무 그지같다고 불평불만을 할 수도 있는데 이런 거 아니면 못깨요,4로터 구겨넣음,2026-08-13,,,
5tub80-a700,Renault,5 Turbo 1980,A 700,레트로 랠리,RWD,혼합,393 838 729,353hp,923kg,1.6G,그룹B 에서 뛰던 수많은 르노 터보 바리에이션 중에 맥시 터보를 가져옴,그룹B의 전설을 포르자에 들여와서 그 맛을 게임에서 느껴보세요 / 아니 분명히 타막 특화라는데 타막에서 037한테 밀리는데 그래블에서 037 두드려팸 뭐함,에어로 안 올렸고 엔진마력은 고증이고 타이어는 랠리 타이어인데 폭은 타막 세팅 기준,2026-08-12,,1:31.507,1:01.233
manta84-a700,Opel,Manta 400 1984,A 700,랠리 몬스터,RWD,온로드,113 595 666,1059hp,1059kg,1.7G,터보 파워 후륜인데 자연흡기 계열 파워후륜에 비해 어려운 거 같음,원래 그룹B 계열로 만들다가 실패해서 폐기하고 파워후륜 행 / 근데 무게 300kg 차이 이거 생각보다 되돌리기 힘듬,RB계열 터보엔진 / 드리프트 타이어,2026-08-11,,1:30.899,
205tub84-a700,Peugeot,205 Turbo 16 1984,A 700,레트로 랠리,4WD,혼합,655 153 392,378hp,1019kg,1.6G,그룹B 에서 뛰던 그 신흥강자 푸조 터보를 재현,그룹B의 전설을 포르자에 들여와서 그 맛을 게임에서 느껴보세요 / 얘는 어쩌다가 다크호스가 되었는가,에어로 안 올렸고 엔진마력은 고증이고 타이어는 랠리 타이어인데 폭은 타막 세팅 기준,2026-08-10,,1:31.474,1:00.176
155q492-a700-3,Alfa Romeo,155 Q4 1992,A 700,레트로 슈퍼 세단,RWD,온로드,113 764 028,1000hp,1343kg,1.8G,그냥 줄리아 스프린트 보고 다른 파워후륜도 될 거 같아서 해봤는데 하필이면 이게 나옴,아니 이걸 누가 굳이 대체 후륜으로 바꾼다음에 엔진스왑해서 1000마력 박아두고 파워후륜으로 굴리는데 / 그게 나야~ / 의외로 줄리아 스프린트보다 실전성은 훨씬 좋은데 기록은 이쪽이 박살났음,3500cc V12에 후륜 넣고 드리프트 타이어 박았는데,2026-08-09,,1:29.948,
emira23-S1800,Lotus,Emira 2023,S1 800,모던 스포츠카,RWD,온로드,318 841 055,824hp,1188kg,2.0G,순정엔진을 최대한 쥐어짜봄,추중비 0.69kg/hp/ 중후반 가속이 좋음,경량화/ 트윈터보 스왑/ 랠리 타이어/ 포르자 에어로,2026-08-09,,1:22.058,
emira23-S1800-1,Lotus,Emira 2023,S1 800,모던 스포츠카,RWD,온로드,118 311 428,674hp,1151kg,2.1G,하중이동이 빠른 편이라 코너링 도중에 브레이크 밟으면 스핀할 수 있음,트랙 주행의 로터스 / 순정 슈퍼차저 쥐어짜기,경량화/ 세미 슬릭/ 포르자 에어로,2026-08-09,,1:21.946,
quattro83-a700,Audi,Sport Quattro 1983,A 700,레트로 랠리,4WD,혼합,451 637 512,451hp,1117kg,1.6G,그룹B 에서 뛰던 그 초창기 아우디를 재현,그룹B의 전설을 포르자에 들여와서 그 맛을 게임에서 느껴보세요 / 그 당시 왜 오프로드는 4륜이 답이었나,에어로 안 올렸고 엔진마력은 고증이고 타이어는 랠리 타이어인데 폭은 타막 세팅 기준,2026-08-08,,1:32.215,0:59.284
03782-a700,Lancia,037 Stradale 1982,A 700,레트로 랠리,RWD,혼합,420 430 618,303hp,984kg,1.7G,그룹B 에서 뛰던 그 라스트 댄스 란치아를 재현,그룹B에서 마지막 최후의 후륜구동이나 다름 없는 녀석,에어로 안 올렸고 엔진마력은 고증이고 타이어는 랠리 타이어인데 폭은 타막 세팅 기준,2026-08-08,,1:29.895,1:01.719
m3gts10-S1800,BMW,M3 GTS 2010,S1 800,트랙 토이,RWD,온로드,568 037 784,686hp,1263kg,2.0G,토크가 치고 올라오면서 가속하는게 느낌이 좋음,직빨의 BMW/ 얘도 다운포스만 좀 더 나왔으면 좋았을텐데,경량화/ 세미 슬릭/ 4.4L V8-TT 스왑,2026-08-06,,1:23.777,
4c14-a700,Alfa Romeo,4C 2014,A 700,모던 스포츠카,RWD,페스티벌 시즌 숙제,176 374 405,290hp,717kg,2.0G,진짜 타기 쉬운 저점 차를 만들자,시즌 페스티벌 하면서 운전실력이 나날이 퇴화되는 거 같은 유저를 배려하기 위해 만들어짐,오프로드 타이어에 3기통 엔진 스왑,2026-08-06,,1:30.455,
huracan14-s1800,Lamborghini,Huracan LP 610-4 2014,S1 800,모던 슈퍼카,4WD,페스티벌 시즌 숙제,165 438 147,1220hp,1603kg,1.2G,그냥 드래그 원툴하려고 만듬,페스티벌 키로미터 15초,드래그 타이어에 레부엘토 엔진스왑,2026-08-06,,,
rangerover15-a700,Lang Rover,Range Rover Sport SVR 2015,A 700,스포츠 유틸리티 영웅,4WD,페스티벌 시즌 숙제,977 968 329,697hp,1771kg,1.5G,사실 쟁여두고 잊었던 재고분인데 까먹었음,A700 스포츠 유틸리티 영웅,그냥 누가봐도 오프로드 달리게 생김,2026-08-06,,,
manx71-b600,Meyers,Manx 1971,B 600,버기,4WD,페스티벌 시즌 숙제,177 889 057,215hp,535kg,1.5G,시즌 숙제로 시작했는데 사실 이게 본체가 아님,전기 버기 했으니까 원본도 해봤는데 난 이게 더 좋아보이는데,오프로드 타이어 / 하이캠 / 터보까지!,2026-08-06,,,
portofino18-S1800-1,Ferrari,Portofino 2018,S1 800,슈퍼 GT,RWD,페스티벌 시즌 숙제,601 265 459,1115hp,1343kg,2.0G,고속도로 스피드존  튜닝,시즌 스턴트 스피드 존  ,레이싱 V12 스왑,2026-08-06,,,
f12tdf15-S1800,Ferrari,F12tdf 2015,S1 800,슈퍼 GT,4WD,페스티벌 시즌 숙제,124 155 982,769hp,1312kg,1.9G,오프로드 4륜 드리프트,시즌 스턴트 드리프트,사륜스왑/ 오프로드 타이어,2026-08-06,,,
corrado95-b600,Volkswagen,Corrado VR6 1995,B 600,레트로 핫 해치,FWD,온로드,115 819 310,291hp,1041kg,1.7G,뭔가 엄청난 힙스터픽이 될 거 같아서 만져봤는데 마치 치즈 가는 기계에다가 바퀴 달아놓은 거 같음,난 항상 VR6 엔진에 로망이 있었어,드리프트 타이어를 끼우고 뭔가 뒤를 날라가게 만들었는데 겨울이라 그런가,2026-08-05,,1:37.939,
civictyper18-A700,Honda,Civic Type R 2018,A 700,슈퍼 핫 해치,FWD,온로드,177 629 386,384hp,1123kg,1.8G,타기 편한 전륜차,스테로이드 맞은 시빅,경향화/ 드리프트 타이어/ 전방 에어로/ 안티랙 터보,2026-08-05,,1:30.660,
civictyper07-B600,Honda,Civic Type R 2007,B 600,핫 해치,FWD,온로드,660 060 277,270hp,1070kg,1.6G,코너에서 액셀을 밟으면 차가 잘 돌아감, 순정(purist)튜닝/ 인데 휠은 바꿈,경량화/ 스포츠 타이어,2026-08-05,,1:39.494,
m4gts16-S1800,BMW,M4 GTS 2016,S1 800,트랙 토이,RWD,온로드,183 869 347,737hp,1281kg,"2,0G",그냥 순수하게 횡G가 부족해서 기록이 안나옴/ 더 두꺼운 타이어나 앞에 포르자윙 달렸으면 더 좋았을듯,직빨의 BMW/ 순정엔진은 쓰레기임,경량화/ 세미 슬릭/ 4.4L V8-TT 스왑,2026-08-05,,1:23.659,
cobra65-a700,Shelby,Cobra 427 S/C,A 700,희귀 클래식,RWD,온로드,832 474 546,455hp,899kg,1.7G,(너 겨울 끝나고 날씨 좋아지면 보자 내가 반드시 뭔일 저지른다),이거는 그냥 낭만 빼면 시체이긴 한데 그래도 차가 낭만 하나만 가지고 타기에는 너무 명품이라서 알아서 손이 간다고 할까,최대한 빈티지의 감성을 살리긴 했지만 사실 성능픽으로 전환할까 고민 중,2026-08-04,,1:31.569,
speed310-a700,Mazda,Speed 3 2010,A 700,핫 해치,FWD,온로드,170 307 960,458hp,1258kg,1.8G,뭔가 변태같은 거 없나 찾다가 로터리 엔진에 꼴림 포인트 급상승 해서 만진 미친놈,아니 이딴 거에도 3로터 로터리가 들어간다고요?,3로터 스왑 / 드리프트 타이어 / 에어로 적당히?,2026-08-03,,1:30.255,
jimmy70-c500,GMC,Jimmy 1970,C 500,픽업 및 4*4,4WD,오프로드,425 474 859,353hp,1792kg,1.5G,몬스터트럭 같이 생겨서 오프로드로 던져야 제맛이지,5에서 이게 메타로 취급받던 시절이 있었는데 지금은 그냥 뒷방 늙은이 같기도 하고,오프로드 타이어 / 매우 높은 차고 / 근데 짧은 휠베이스?,2026-08-01,,,1:04.509
037stra92-A700,Lancia,037 Stradale 1982,A 700,레트로 랠리,RWD,혼합,293 914 937,373hp,974kg,1.7G,공식 자료보다 엔진 출력만 60마력정도 높음,037 Evo2 컨셉 튜닝/ FIA 호몰로게이션 자료 참고해서 엔진 출력 제외 최대한 비슷하게 만듬 / 혼합으로 올리긴 했는데 후륜랠리의 한계는 명확함,037 evo2 외형/ 타이어 폭도 고증,2026-08-01,,1:31.287,1:05.328
montero97-c500,Mitsubishi,Montero Evolution 1997,C 500,픽업 및 4*4,4WD,오프로드,545 123 946,324hp,1565kg,1.5G,얘도 어쨌든 갤로퍼긴 하잖슴 ,휠베이스 짧으면 오프로드 잘하나요? 네 그렇네요,그냥 뭐 만진 거 없이 오프로드 기본 튜닝 느낌?,2026-07-31,,,1:04.396
i82015-a700,BMW,I8 2015,A 700,모던 스포츠카,4WD,페스티벌 시즌 숙제,140 214 299,495hp,1224kg,1.8G,그냥 시즌 스턴트 한번에 즐기려고 만듬,시즌 스턴트 즐길라고 만든건데 본격적인 건 제대로 한번 해볼 예정,오프로드 타이어 / 신형 자흡엔진 스왑,2026-07-30,,,
murlp67010-s1800,Lamborghini,Murcielago LP 670-4 SV 2010,S1 800,모던 슈퍼카,4WD,온로드,122 259 919,720hp,1446kg,2.2G,람보르기니의 성능픽을 굳이 꼽자면 이거일 거 같아서 한번 만들어봤는데 내 이론이 진짜로 증명된 거 같은 느낌?,정말 마지막으로 람보르기니가 이성이 있던 시절이라고 생각하는 차,리버티 바디 / 세미슬릭,2026-07-29,,1:20.506,
mc2022-s1800-2,Maserati,MC20 2022,S1 800,모던 슈퍼카,RWD,온로드,170 278 876,826hp,1545kg,2.1G,일단 차를 살려야 하니까 안 미끄러지게 깎고 엔진은 좀 뒷순위로 미룬 경향이 있음,친구 의뢰로 깎기 시작했는데 이 답없는 것에도 답이 있다는 걸 깨달았음,랠리 타이어 / 랠리 서스 / MC12 엔진스왑,2026-07-28,,1:20.997,
mc2022-S1800,Maserati,MC20 2022,S1 800,모던 슈퍼카,RWD,온로드,179 002 750,836hp,1509kg,2.0G,순정 엔진은 도저히 써먹을 수가 없었음,4.5L V8트윈터보 스왑/ 적당한 불안정성/ 마세라티 너넨 엔진 만들지 마라,4.5L V8 트윈터보/ 경량화/ 드리프트 타이어/ 에어로,2026-07-28,,1:23.094,
Limo13-A700-2,Cadillac,XTS Limousine 2013,A 700,모던 슈퍼 세단,4WD,페스티벌 시즌 숙제,151 266 154,1073hp,2140kg,1.4G,오프로드로 바꾼 A클 리무진,모던 슈퍼 세단 A / 대유쾌 마운틴 랠리는 여기로 / 오프로드로 바꿈,바이퍼에 들어가는 V10 스왑한 다음 4륜 박아넣음 / 거기에 오프로드 타이어,2026-07-24,0:58.798,,
124spider17-A700,Abarth,124 Spider 2017,A 700,모던 스포츠카,RWD,온로드,312 496 513,518hp,1005kg,1.8G,파워후륜으로 만들어봄/ 근데 에어로가 거의 맥시멈이라 가속이 느림,A에서 추중비 0.52의 파워후륜/ 생각만큼 빠르진 않음,3.2L I6 스왑/ 드리프트 타이어/ 경량화/ 포르자 윙,2026-07-24,,1:31.655,
brat80-c500,Subaru,Brat GL 1980,C 500,픽업 및 4*4,4WD,오프로드,980 963 677,157hp,789kg,1.5G,그냥 이것도 살리나 싶어서 해봤는데 꽤 많이 좋네 쩝,뭔가 좋아보이는 건 다 때려박아봤는데 좋은 걸 다 때려박을 수만 있다면 차가 상당히 좋은 게 나오는 걸 알아냈다,오프로드 타이어/에어로/원심 슈퍼차저까지 그냥 종합 선물 세트로 박아버림,2026-07-23,,,1:04.780
huracanlp610414-S1800,Lamborghini,Huracan LP 610-4 2014,S1 800,모던 슈퍼카,4WD,온로드,137 944 993,676hp,1248kg,2.0G,트레일브레이킹 안하면 차가 돌아갈 생각도 안함/ 람보르기니를 서킷에서 탈려한게 잘못인건가,요청 받아 만든 튜닝/ Duke Dynamics 에어로킷/ 감속 안하면 언더스티어 지리게 납니다/ 타다보니깐 뭔가 익숙해서 생각해보니깐 GTA에서 이그너스 운전하는 느낌임 ㄹㅇ,경량화/ 스포츠 타이어/ 순정엔진,2026-07-23,,1:23.689,
4runner19-b600,Toyota,4Runner TRD Pro 2019,B 600,픽업 및 4*4,4WD,오프로드,104 341 261,403hp,1688kg,1.4G,진짜 진퉁 SUV는 랠리보다 빠를까? 싶었음,진짜 TRD 답게 하체는 잘 만져놨는데 뭔가 미끄러뜨리고 싶은 욕구가 매우 솟아오르지만 안 미끄러뜨려야 해서 운전자의 인내심을 매우 요구하는 중,그냥 멋진 바디킷에 오프로드 세팅,2026-07-22,,,1:01.274
zonda09-s2900,Pagani,Zonda R 2009,S2 900,익스트림 트랙토이,RWD,온로드,164 755 436,739hp,1154kg,2.4G,필자에게 상당한 추억이 있음 (이걸로 노가다 ㅈㄴ 뛴 기억이 있음) 추억 보정과 엔진음이 좋다는 건 뭐 인정해야할 사실이니까,엔진음도 좋은데 성능도 준수하게 나오는 편,슬릭인데 조금 안 좋은 슬릭임 / 그 외 건든 거 거의 없는 듯?,2026-07-21,,1:13.062,
gordini67-c500,Renault,8 Gordini 1967,C 500,클래식 랠리,RWD,혼합,117 530 597,165hp,807kg,1.4G,차 고르다가 갑자기 눈에 띄어서 하나 만들어본 녀석인데 클래식 랠리값 하네,아니 옛날 사람들은 이걸로 랠리를 뛰었다는데 대체 다들 강심장이었나?,오프로드 타이어 / 후륜 유지 / 엔진도 기본엔진에 업글만,2026-07-20,,,1:05.551
mc1204-s1800,Maserati,MC12 2004,S1 800,레트로 슈퍼카,RWD,온로드,610 980 564,624hp,1256kg,2.2G,페라리랑 람보르기니가 싫으면 이탈리아엔 뭐가 남죠?,괜히 레이스 DNA가 새겨진 녀석이 아니라니까 뭔가 TWR 튜닝한 거의 이탈리아 버전 느낌 / 상당히 경쾌한 주행이 가능하면서도 전혀 재미없지도 않음,드리프트 타이어 / 엔진업글 X,2026-07-19,,1:19.755,
integra23-b600,Acura,Integra A-Spec 2023,B 600,핫 해치,FWD,온로드,124 746 623,330hp,1154kg,1.6G,왠지 이거 튜닝하면 느낌이 좋을 거 같아서 해봤는데 진짜 좋네,상당히 멋진 디자인에 빠르기까지 한 녀석 등장,와이드바디 / 순정 타이어 / 엔진이 무려 330마력,2026-07-18,,1:36.750,
preludesi94-B600,Honda,Prelude Si 1994,B 600,레트로 핫 해치,FWD,온로드,671 634 826,437hp,1095kg,1.5G,FF는 서스펜션을 조져놔야 느낌이 좋아짐/  VVT는 신이야,2.0L VVT 원심 슈퍼차저 / FF가 코너링이 안좋다는 편견을 버려라 / 근데 이거 왜 핫해치임?,스트리트 타이어/ 경량화/ 2.0L VVT 원심 슈퍼차저 / 에어로,2026-07-18,,1:38.354,
db7gt03-A700,Aston Martin,DB7 GT 2003,A 700,레트로 스포츠카,RWD,온로드,134 750 833,591hp,1396kg,1.7G,엔진 소리 쥑이네,순정(purist) 튜닝/ 뒤가 좀 날아가는데 이게 순정 튜닝의 맛 아닐까,경량화/ 스포츠 타이어,2026-07-18,,1:32.661,
pantera84-b600,De Tomaso,Pantera GT5 1984,B 600,레트로 슈퍼카,RWD,온로드,171 974 515,310hp,1175kg,1.6G,난 이 숨겨진 이탈리아 클래식 슈퍼카를 도저히 그냥 내버려둘 수 없었음,운전 자체는 상당히 쉬운 편인데 뭔가 최고 기록 뽑기에는 엔진이 좀 약한 거 같은데 그렇다고 느린 건 아닌 거 같고 / B클래스가 FF 마당발인 거 생각하면 MR 주제에 선방한 거 같기도 하고,엔진은 그냥 두고 에어로 부분이랑 핸들링 쪽만 개선,2026-07-17,,1:37.974,
155q492-a700,Alfa Romeo,155 Q4 1992,A 700,레트로 슈퍼 세단,4WD,페스티벌 시즌 숙제,145 778 106,680hp,1362kg,1.7G,이번 페스티벌에 쓸 차량을 만들었는데 나중에 제대로 깎고 싶어지는 녀석,아니 분명히 4륜 드리프트용으로 설계했는데 왜 차가 전체적으로 좋은거지?,일단 F1 엔진을 집어넣고 생각해,2026-07-16,,,
xj220s93-S1800,Jaguar,XJ220S TWR 1993,S1 800,레트로 슈퍼카,RWD,온로드,112 867 646,680hp,996kg,2.1G,로터스 엘리스 GT1 잡아보려고 깎음,진짜 부드러운 크림 같은 주행감 / 리메이크 / 진짜 경쾌한 주행감이 사람 기분좋게 만드는 질감이 있음 트윈터보 특성 상 기어변속 해서 1단 위를 쓰는 것보다 최대한 레드라인 치는 게 더 빠릅니다,엔진 쪽은 안 건들고 핸들링 위주로 건드림 / 드리프트 타이어,2026-07-15,,1:19.692,
exige18-a700,Lotus,Exige Cup 430 2018,A 700,트랙 토이,RWD,온로드,812 053 906,400hp,1074kg,2.0G,어디까지 추해질 수 있나 한번 보고 싶었는데 생각보다 이건 많이 좋은데?,아니 이걸 대체 누가 A클래스로 내려서 탐? / 근데 아주 안정감 있진 않고 살짝 흔들리는 경향 있음,드리프트 타이어로 너프 그리고 이게 끝,2026-07-15,,1:27.465,
gtr17-S1800,Mercedes-AMG,GT R 2017,S1 800,슈퍼 GT,RWD,온로드,117 783 720,735hp,1128kg,2.0G,악셀링 조절만해서 대부분 코너 인아웃가능,5.2L V10 원심 슈퍼차저 스왑/ 좀만 더 잘 만져보면 더 좋은게 나올거 같음,5.2L V10 원심 슈퍼차저/ 드리프트 타이어/ 경량화,2026-07-15,,1:24.221,
gt4066-a700,Ford,#2 GT40 Mk.II 1966,A 700,클래식 레이스카,RWD,온로드,177 427 135,485hp,1188kg,1.6G,포드 v 페라리의 그 차량인데 얘는 66년식인 게 함정,포드v페라리 영화 보고 만든 포드,1967 르망 고증 튜닝을 포르자식으로 재해석,2026-07-14,,1:32.272,
spa33067-a700,Ferrari,#24 Ferrari SPA 330 P4 1967,A 700,클래식 레이스카,RWD,온로드,905 142 400,450hp,1024kg,1.7G,포드 v 페라리의 그 차량인데 얘는 후기형임,포드v페라리 영화 보고 만든 페라리,1967 르망 고증 튜닝을 포르자식으로 재해석,2026-07-14,,1:32.170,
manx2023-b600,Meyers,MANX 2.0 2023,B 600,버기,RWD,오프로드,979 588 694,200hp,744kg,1.5G,왠 버기인데 전기차길래 일단 만져봄,아니 전기랑 버기라는 단어가 공존할 수 있는 거였음?,4륜 스왑도 안되어서 강제로 후륜 오프로드행,2026-07-13,,,1:00.913
m3gtr05-a700,BMW,M3 2005,A 700,레트로 슈퍼 세단,RWD,온로드,152 346 868,555hp,1306kg,1.9G,M3 GTR인 척 하는 그냥 M3,왠 복엽기가 하나 있는데요?,겁나 거대한 리어윙 2개 / M3 GTR에 들어가는 엔진 스왑 (플그 ㄹㅇ 감다살),2026-07-10,,1:29.411,
lafer13-s1800-2,Ferrari,La Ferrari 2013,S1 800,하이퍼카,RWD,온로드,366 171 015,750hp,1401kg,2.2G,순정이 말을 안듣길래 알아서 잘 돌아가는 차로 만들고 싶었음,새로운 튜너의 첫 작품/ S2에서 S1으로 다운그레이드/ 안정성이 높음,드리프트 타이어/ 에어로/  Racing V12 스왑,2026-07-09,,1:22.657,
gt17-S1800,Ford,GT 2017,S1 800,모던 슈퍼카,RWD,온로드,638 651 826,744hp,1276kg,2.1G,에어로를 상당히 강하게 주긴 했는데 추중비가 괜찮아서 코너링 좋고 가속은 평타는 침,언더스티어 성향이 강한 MR/ 나름 쓸만한 듯,경량화/ 드리프트 타이어/ 포르자 에어로,2026-07-09,,1:21.118,
911carreras19-S1800-1,Porsche,911 Carrera S 2019,S1 800,모던 스포츠카,RWD,온로드,138 624 663,661hp,1203kg,2.0G,진짜 그냥 마실용,순정(purist)튜닝/ 마실용 911,경량화/ 스포츠 타이어,2026-07-08,,1:23.970,
911gt3rs19-S1800,Porsche,911 GT3 RS 2019,S1 800,트랙 토이,RWD,온로드,144 678 168,688hp,1295kg,2.0G,순정 에어로 써서 Pi 쌀먹함,리메이크/ 순정 에어로/ GT3RS치곤 너무 무거운거 아닌가?,경량화/ 드리프트 타이어,2026-07-08,,1:21.013,
718gt4rs22-S1800-1,Porsche,718 Cayman GT4 RS 2022,S1 800,트랙 토이,RWD,온로드,180 939 804,611hp,1161kg,2.0G,분명 횡G는 2인데 엄청 잘 돌아감,리메이크/ 이젠 단종된 718을 기리며,경량화/ 드리프트 타이어,2026-07-08,,1:20.660,
