courseName,routeType,courseBias,notes
Sotoyama Scramble,Dirt,4,코스 선형이 좋은데 문제는 더트 구간이 전부 눈길임
Sunflower Scramble,Dirt,4,서킷의 백스트레이트 같은 구간이 있는데 이게 그래블 구간이라 달려나가면 유리해짐
Taiyaki Scramble,Dirt,5,그냥 차 날리면서 치고 나가면 못 따라감 접지만 나오면 좋음
Takashiro Trail,Dirt,3,직선은 긴데 코너의 90%가 전부 90도 구간이라 애매해버림
The Gauntlet,Dirt,3,그냥 너무 길고 그래블 타막 더트 다 혼합된 코스
Waterfall Trail,Dirt,3,서쪽 그래블 산간 코스를 달리는 전통 랠리 코스
City Docks Cross Country Circuit,Cross Country,,
Edogawa Cross Country Circuit,Cross Country,,
Izu Cross Country,Cross Country,,
Legend Island Cross Country Circuit,Cross Country,,
Nangan Cross Country Circuit,Cross Country,,
Naruo Cross Country Circuit,Cross Country,,
Oka Cross Country Circuit,Cross Country,,
Ruriko-ji Cross Country,Cross Country,,
Shimanoyama Cross Country,Cross Country,,
Shinjuku Gyoen Cross Country,Cross Country,,
Snow Forest Cross Country Circuit,Cross Country,,
Soni Highlands Cross Country,Cross Country,,
Stadium Cross Country Circuit,Cross Country,,
Takashiro Cross Country,Cross Country,,
Tateyama Alpine Cross Country,Cross Country,,
Temple Cross Country,Cross Country,,
The Titan,Cross Country,,
Wind Farm Cross Country,Cross Country,,
Yahikoyama Cross Country,Cross Country,,
